id,product_code,name,category_name,category_slug,price,stock_qty,status,image_url,slug,created_at
74,PC-000074,PC Gaming KAH PC Gaming Ryzen 7 7800X3D RAM 32GB RTX 5070 12GB - PC-000074,PC Gaming,pc-gaming,17690000.00,15,active,https://nguyencongpc.vn/media/product/28601-pc-gaming-ryzen-7-7800x3d-ram-32gb-rtx-5070-12gb-01.jpg,pc-gaming-kah-pc-gaming-ryzen-7-7800x3d-ram-32gb-rtx-5070-12gb-pc-000074-74,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
75,PC-000075,PC Gaming KAH PC Gaming Ryzen 7 7800X3D RAM 32GB RTX 5080 16GB - PC-000075,PC Gaming,pc-gaming,17860000.00,16,active,https://nguyencongpc.vn/media/product/29325-pc-gaming-ryzen-7-7800x3d-ram-32gb-rtx-5080-16gb-11.jpg,pc-gaming-kah-pc-gaming-ryzen-7-7800x3d-ram-32gb-rtx-5080-16gb-pc-000075-75,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
76,PC-000076,PC Gaming KAH PC Gaming 25251340 - PC-000076,PC Gaming,pc-gaming,18030000.00,17,active,https://nguyencongpc.vn/media/product/27426-pc-gaming-25251340.jpg,pc-gaming-kah-pc-gaming-25251340-pc-000076-76,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
77,PC-000077,PC Gaming KAH PC Gaming Ryzen 7 9800X3D RTX 5080 - PC-000077,PC Gaming,pc-gaming,18200000.00,18,active,https://nguyencongpc.vn/media/product/27462-b--pc-gaming-ryzen-7-9800x3d-ram-32g-vga-rtx-5080.jpg,pc-gaming-kah-pc-gaming-ryzen-7-9800x3d-rtx-5080-pc-000077-77,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
78,PC-000078,PC Gaming KAH PC Gaming AMD Ryzen 5 5500 RX 7600 - PC-000078,PC Gaming,pc-gaming,18370000.00,19,active,https://nguyencongpc.vn/media/product/27563-pc-gaming-amd-ryzen-5-5500-ram-16gb-rx-7600-8gb.jpg,pc-gaming-kah-pc-gaming-amd-ryzen-5-5500-rx-7600-pc-000078-78,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
79,PC-000079,PC Gaming KAH PC Gaming Intel Core i7 14700K RTX 4070 Super - PC-000079,PC Gaming,pc-gaming,18540000.00,20,active,https://nguyencongpc.vn/media/product/28132-pc-gaming-intel-core-i7-14700k-ram-64gb-rtx-4070-super-12gb-10.jpg,pc-gaming-kah-pc-gaming-intel-core-i7-14700k-rtx-4070-super-pc-000079-79,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
80,PC-000080,PC Gaming KAH PC GAMING ULTRA LUXURY INTEL I5 12400F- RTX 4060 TI 16GB - PC-000080,PC Gaming,pc-gaming,18710000.00,21,active,https://cdn.hstatic.net/products/200000637319/11615_dsc07508_5aa0db1602604a23844b81e323a8ab5a.jpg,pc-gaming-kah-pc-gaming-ultra-luxury-intel-i5-12400f-rtx-4060-ti-16gb-pc-000080-80,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
81,PC-000081,PC Gaming KAH PC GAMING INTEL i5 12400F - RTX 3060 12GB - PC-000081,PC Gaming,pc-gaming,18880000.00,22,active,https://cdn.hstatic.net/products/200000637319/10689_11498_dsc05320_1f0109ad92ed4dc19f744c3e09e22199.jpg,pc-gaming-kah-pc-gaming-intel-i5-12400f-rtx-3060-12gb-pc-000081-81,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
82,PC-000082,PC Gaming KAH PC Gaming Ryzen 7 7800X3D RAM 32GB RTX 5070 12GB - PC-000082,PC Gaming,pc-gaming,19050000.00,23,active,https://nguyencongpc.vn/media/product/28601-pc-gaming-ryzen-7-7800x3d-ram-32gb-rtx-5070-12gb-01.jpg,pc-gaming-kah-pc-gaming-ryzen-7-7800x3d-ram-32gb-rtx-5070-12gb-pc-000082-82,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
83,PC-000083,PC Gaming KAH PC Gaming Ryzen 7 7800X3D RAM 32GB RTX 5080 16GB - PC-000083,PC Gaming,pc-gaming,19220000.00,24,active,https://nguyencongpc.vn/media/product/29325-pc-gaming-ryzen-7-7800x3d-ram-32gb-rtx-5080-16gb-11.jpg,pc-gaming-kah-pc-gaming-ryzen-7-7800x3d-ram-32gb-rtx-5080-16gb-pc-000083-83,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
84,PC-000084,PC Gaming KAH PC Gaming 25251340 - PC-000084,PC Gaming,pc-gaming,19390000.00,25,active,https://nguyencongpc.vn/media/product/27426-pc-gaming-25251340.jpg,pc-gaming-kah-pc-gaming-25251340-pc-000084-84,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
85,PC-000085,PC Gaming KAH PC Gaming Ryzen 7 9800X3D RTX 5080 - PC-000085,PC Gaming,pc-gaming,19560000.00,26,active,https://nguyencongpc.vn/media/product/27462-b--pc-gaming-ryzen-7-9800x3d-ram-32g-vga-rtx-5080.jpg,pc-gaming-kah-pc-gaming-ryzen-7-9800x3d-rtx-5080-pc-000085-85,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
86,PC-000086,PC Gaming KAH PC Gaming AMD Ryzen 5 5500 RX 7600 - PC-000086,PC Gaming,pc-gaming,19730000.00,27,active,https://nguyencongpc.vn/media/product/27563-pc-gaming-amd-ryzen-5-5500-ram-16gb-rx-7600-8gb.jpg,pc-gaming-kah-pc-gaming-amd-ryzen-5-5500-rx-7600-pc-000086-86,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
87,PC-000087,PC Gaming KAH PC Gaming Intel Core i7 14700K RTX 4070 Super - PC-000087,PC Gaming,pc-gaming,19900000.00,28,active,https://nguyencongpc.vn/media/product/28132-pc-gaming-intel-core-i7-14700k-ram-64gb-rtx-4070-super-12gb-10.jpg,pc-gaming-kah-pc-gaming-intel-core-i7-14700k-rtx-4070-super-pc-000087-87,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
88,PC-000088,PC Gaming KAH PC GAMING ULTRA LUXURY INTEL I5 12400F- RTX 4060 TI 16GB - PC-000088,PC Gaming,pc-gaming,20070000.00,29,active,https://cdn.hstatic.net/products/200000637319/11615_dsc07508_5aa0db1602604a23844b81e323a8ab5a.jpg,pc-gaming-kah-pc-gaming-ultra-luxury-intel-i5-12400f-rtx-4060-ti-16gb-pc-000088-88,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
89,PC-000089,PC Gaming KAH PC GAMING INTEL i5 12400F - RTX 3060 12GB - PC-000089,PC Gaming,pc-gaming,20240000.00,30,active,https://cdn.hstatic.net/products/200000637319/10689_11498_dsc05320_1f0109ad92ed4dc19f744c3e09e22199.jpg,pc-gaming-kah-pc-gaming-intel-i5-12400f-rtx-3060-12gb-pc-000089-89,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
90,PC-000090,PC Gaming KAH PC Gaming Ryzen 7 7800X3D RAM 32GB RTX 5070 12GB - PC-000090,PC Gaming,pc-gaming,20410000.00,31,active,https://nguyencongpc.vn/media/product/28601-pc-gaming-ryzen-7-7800x3d-ram-32gb-rtx-5070-12gb-01.jpg,pc-gaming-kah-pc-gaming-ryzen-7-7800x3d-ram-32gb-rtx-5070-12gb-pc-000090-90,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
91,PC-000091,PC Gaming KAH PC Gaming Ryzen 7 7800X3D RAM 32GB RTX 5080 16GB - PC-000091,PC Gaming,pc-gaming,20580000.00,32,active,https://nguyencongpc.vn/media/product/29325-pc-gaming-ryzen-7-7800x3d-ram-32gb-rtx-5080-16gb-11.jpg,pc-gaming-kah-pc-gaming-ryzen-7-7800x3d-ram-32gb-rtx-5080-16gb-pc-000091-91,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
92,PC-000092,PC Gaming KAH PC Gaming 25251340 - PC-000092,PC Gaming,pc-gaming,20750000.00,33,active,https://nguyencongpc.vn/media/product/27426-pc-gaming-25251340.jpg,pc-gaming-kah-pc-gaming-25251340-pc-000092-92,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
93,PC-000093,PC Gaming KAH PC Gaming Ryzen 7 9800X3D RTX 5080 - PC-000093,PC Gaming,pc-gaming,20920000.00,34,active,https://nguyencongpc.vn/media/product/27462-b--pc-gaming-ryzen-7-9800x3d-ram-32g-vga-rtx-5080.jpg,pc-gaming-kah-pc-gaming-ryzen-7-9800x3d-rtx-5080-pc-000093-93,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
94,PC-000094,PC Gaming KAH PC Gaming AMD Ryzen 5 5500 RX 7600 - PC-000094,PC Gaming,pc-gaming,21090000.00,35,active,https://nguyencongpc.vn/media/product/27563-pc-gaming-amd-ryzen-5-5500-ram-16gb-rx-7600-8gb.jpg,pc-gaming-kah-pc-gaming-amd-ryzen-5-5500-rx-7600-pc-000094-94,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
95,PC-000095,PC Gaming KAH PC Gaming Intel Core i7 14700K RTX 4070 Super - PC-000095,PC Gaming,pc-gaming,21260000.00,36,active,https://nguyencongpc.vn/media/product/28132-pc-gaming-intel-core-i7-14700k-ram-64gb-rtx-4070-super-12gb-10.jpg,pc-gaming-kah-pc-gaming-intel-core-i7-14700k-rtx-4070-super-pc-000095-95,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
96,PC-000096,PC Gaming KAH PC GAMING ULTRA LUXURY INTEL I5 12400F- RTX 4060 TI 16GB - PC-000096,PC Gaming,pc-gaming,21430000.00,37,active,https://cdn.hstatic.net/products/200000637319/11615_dsc07508_5aa0db1602604a23844b81e323a8ab5a.jpg,pc-gaming-kah-pc-gaming-ultra-luxury-intel-i5-12400f-rtx-4060-ti-16gb-pc-000096-96,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
97,PC-000097,PC Gaming KAH PC GAMING INTEL i5 12400F - RTX 3060 12GB - PC-000097,PC Gaming,pc-gaming,21600000.00,38,active,https://cdn.hstatic.net/products/200000637319/10689_11498_dsc05320_1f0109ad92ed4dc19f744c3e09e22199.jpg,pc-gaming-kah-pc-gaming-intel-i5-12400f-rtx-3060-12gb-pc-000097-97,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
98,PC-000098,PC Gaming KAH PC Gaming Ryzen 7 7800X3D RAM 32GB RTX 5070 12GB - PC-000098,PC Gaming,pc-gaming,21770000.00,39,active,https://nguyencongpc.vn/media/product/28601-pc-gaming-ryzen-7-7800x3d-ram-32gb-rtx-5070-12gb-01.jpg,pc-gaming-kah-pc-gaming-ryzen-7-7800x3d-ram-32gb-rtx-5070-12gb-pc-000098-98,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
99,PC-000099,PC Gaming KAH PC Gaming Ryzen 7 7800X3D RAM 32GB RTX 5080 16GB - PC-000099,PC Gaming,pc-gaming,21940000.00,40,active,https://nguyencongpc.vn/media/product/29325-pc-gaming-ryzen-7-7800x3d-ram-32gb-rtx-5080-16gb-11.jpg,pc-gaming-kah-pc-gaming-ryzen-7-7800x3d-ram-32gb-rtx-5080-16gb-pc-000099-99,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
100,PC-000100,PC Gaming KAH PC Gaming 25251340 - PC-000100,PC Gaming,pc-gaming,22110000.00,41,active,https://nguyencongpc.vn/media/product/27426-pc-gaming-25251340.jpg,pc-gaming-kah-pc-gaming-25251340-pc-000100-100,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
101,PC-000101,PC Gaming KAH PC Gaming Ryzen 7 9800X3D RTX 5080 - PC-000101,PC Gaming,pc-gaming,15990000.00,42,active,https://nguyencongpc.vn/media/product/27462-b--pc-gaming-ryzen-7-9800x3d-ram-32g-vga-rtx-5080.jpg,pc-gaming-kah-pc-gaming-ryzen-7-9800x3d-rtx-5080-pc-000101-101,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
102,PC-000102,PC Gaming KAH PC Gaming AMD Ryzen 5 5500 RX 7600 - PC-000102,PC Gaming,pc-gaming,16160000.00,43,active,https://nguyencongpc.vn/media/product/27563-pc-gaming-amd-ryzen-5-5500-ram-16gb-rx-7600-8gb.jpg,pc-gaming-kah-pc-gaming-amd-ryzen-5-5500-rx-7600-pc-000102-102,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
103,PC-000103,PC Gaming KAH PC Gaming Intel Core i7 14700K RTX 4070 Super - PC-000103,PC Gaming,pc-gaming,16330000.00,44,active,https://nguyencongpc.vn/media/product/28132-pc-gaming-intel-core-i7-14700k-ram-64gb-rtx-4070-super-12gb-10.jpg,pc-gaming-kah-pc-gaming-intel-core-i7-14700k-rtx-4070-super-pc-000103-103,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
104,PC-000104,PC Gaming KAH PC GAMING ULTRA LUXURY INTEL I5 12400F- RTX 4060 TI 16GB - PC-000104,PC Gaming,pc-gaming,16500000.00,45,active,https://cdn.hstatic.net/products/200000637319/11615_dsc07508_5aa0db1602604a23844b81e323a8ab5a.jpg,pc-gaming-kah-pc-gaming-ultra-luxury-intel-i5-12400f-rtx-4060-ti-16gb-pc-000104-104,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
105,PC-000105,PC Gaming KAH PC GAMING INTEL i5 12400F - RTX 3060 12GB - PC-000105,PC Gaming,pc-gaming,16670000.00,46,active,https://cdn.hstatic.net/products/200000637319/10689_11498_dsc05320_1f0109ad92ed4dc19f744c3e09e22199.jpg,pc-gaming-kah-pc-gaming-intel-i5-12400f-rtx-3060-12gb-pc-000105-105,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
106,PC-000106,PC Gaming KAH PC Gaming Ryzen 7 7800X3D RAM 32GB RTX 5070 12GB - PC-000106,PC Gaming,pc-gaming,16840000.00,47,active,https://nguyencongpc.vn/media/product/28601-pc-gaming-ryzen-7-7800x3d-ram-32gb-rtx-5070-12gb-01.jpg,pc-gaming-kah-pc-gaming-ryzen-7-7800x3d-ram-32gb-rtx-5070-12gb-pc-000106-106,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
107,PC-000107,PC Gaming KAH PC Gaming Ryzen 7 7800X3D RAM 32GB RTX 5080 16GB - PC-000107,PC Gaming,pc-gaming,17010000.00,48,active,https://nguyencongpc.vn/media/product/29325-pc-gaming-ryzen-7-7800x3d-ram-32gb-rtx-5080-16gb-11.jpg,pc-gaming-kah-pc-gaming-ryzen-7-7800x3d-ram-32gb-rtx-5080-16gb-pc-000107-107,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
108,PC-000108,PC Gaming KAH PC Gaming 25251340 - PC-000108,PC Gaming,pc-gaming,17180000.00,49,active,https://nguyencongpc.vn/media/product/27426-pc-gaming-25251340.jpg,pc-gaming-kah-pc-gaming-25251340-pc-000108-108,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
109,PC-000109,PC Gaming KAH PC Gaming Ryzen 7 9800X3D RTX 5080 - PC-000109,PC Gaming,pc-gaming,17350000.00,50,active,https://nguyencongpc.vn/media/product/27462-b--pc-gaming-ryzen-7-9800x3d-ram-32g-vga-rtx-5080.jpg,pc-gaming-kah-pc-gaming-ryzen-7-9800x3d-rtx-5080-pc-000109-109,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
110,PC-000110,PC Gaming KAH PC Gaming AMD Ryzen 5 5500 RX 7600 - PC-000110,PC Gaming,pc-gaming,17520000.00,51,active,https://nguyencongpc.vn/media/product/27563-pc-gaming-amd-ryzen-5-5500-ram-16gb-rx-7600-8gb.jpg,pc-gaming-kah-pc-gaming-amd-ryzen-5-5500-rx-7600-pc-000110-110,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
111,PC-000111,PC Gaming KAH PC Gaming Intel Core i7 14700K RTX 4070 Super - PC-000111,PC Gaming,pc-gaming,17690000.00,52,active,https://nguyencongpc.vn/media/product/28132-pc-gaming-intel-core-i7-14700k-ram-64gb-rtx-4070-super-12gb-10.jpg,pc-gaming-kah-pc-gaming-intel-core-i7-14700k-rtx-4070-super-pc-000111-111,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
112,PC-000112,PC Gaming KAH PC GAMING ULTRA LUXURY INTEL I5 12400F- RTX 4060 TI 16GB - PC-000112,PC Gaming,pc-gaming,17860000.00,53,active,https://cdn.hstatic.net/products/200000637319/11615_dsc07508_5aa0db1602604a23844b81e323a8ab5a.jpg,pc-gaming-kah-pc-gaming-ultra-luxury-intel-i5-12400f-rtx-4060-ti-16gb-pc-000112-112,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
113,PC-000113,PC Gaming KAH PC GAMING INTEL i5 12400F - RTX 3060 12GB - PC-000113,PC Gaming,pc-gaming,18030000.00,54,active,https://cdn.hstatic.net/products/200000637319/10689_11498_dsc05320_1f0109ad92ed4dc19f744c3e09e22199.jpg,pc-gaming-kah-pc-gaming-intel-i5-12400f-rtx-3060-12gb-pc-000113-113,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
114,PC-000114,PC Gaming KAH PC Gaming Ryzen 7 7800X3D RAM 32GB RTX 5070 12GB - PC-000114,PC Gaming,pc-gaming,18200000.00,55,active,https://nguyencongpc.vn/media/product/28601-pc-gaming-ryzen-7-7800x3d-ram-32gb-rtx-5070-12gb-01.jpg,pc-gaming-kah-pc-gaming-ryzen-7-7800x3d-ram-32gb-rtx-5070-12gb-pc-000114-114,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
115,PC-000115,PC Gaming KAH PC Gaming Ryzen 7 7800X3D RAM 32GB RTX 5080 16GB - PC-000115,PC Gaming,pc-gaming,18370000.00,56,active,https://nguyencongpc.vn/media/product/29325-pc-gaming-ryzen-7-7800x3d-ram-32gb-rtx-5080-16gb-11.jpg,pc-gaming-kah-pc-gaming-ryzen-7-7800x3d-ram-32gb-rtx-5080-16gb-pc-000115-115,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
116,PC-000116,PC Gaming KAH PC Gaming 25251340 - PC-000116,PC Gaming,pc-gaming,18540000.00,57,active,https://nguyencongpc.vn/media/product/27426-pc-gaming-25251340.jpg,pc-gaming-kah-pc-gaming-25251340-pc-000116-116,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
117,PC-000117,PC Gaming KAH PC Gaming Ryzen 7 9800X3D RTX 5080 - PC-000117,PC Gaming,pc-gaming,18710000.00,58,active,https://nguyencongpc.vn/media/product/27462-b--pc-gaming-ryzen-7-9800x3d-ram-32g-vga-rtx-5080.jpg,pc-gaming-kah-pc-gaming-ryzen-7-9800x3d-rtx-5080-pc-000117-117,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
118,PC-000118,PC Gaming KAH PC Gaming AMD Ryzen 5 5500 RX 7600 - PC-000118,PC Gaming,pc-gaming,18880000.00,59,active,https://nguyencongpc.vn/media/product/27563-pc-gaming-amd-ryzen-5-5500-ram-16gb-rx-7600-8gb.jpg,pc-gaming-kah-pc-gaming-amd-ryzen-5-5500-rx-7600-pc-000118-118,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
119,PC-000119,PC Gaming KAH PC Gaming Intel Core i7 14700K RTX 4070 Super - PC-000119,PC Gaming,pc-gaming,19050000.00,60,active,https://nguyencongpc.vn/media/product/28132-pc-gaming-intel-core-i7-14700k-ram-64gb-rtx-4070-super-12gb-10.jpg,pc-gaming-kah-pc-gaming-intel-core-i7-14700k-rtx-4070-super-pc-000119-119,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
120,PC-000120,PC Gaming KAH PC GAMING ULTRA LUXURY INTEL I5 12400F- RTX 4060 TI 16GB - PC-000120,PC Gaming,pc-gaming,19220000.00,61,active,https://cdn.hstatic.net/products/200000637319/11615_dsc07508_5aa0db1602604a23844b81e323a8ab5a.jpg,pc-gaming-kah-pc-gaming-ultra-luxury-intel-i5-12400f-rtx-4060-ti-16gb-pc-000120-120,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
121,PC-000121,PC Gaming KAH PC GAMING INTEL i5 12400F - RTX 3060 12GB - PC-000121,PC Gaming,pc-gaming,19390000.00,62,active,https://cdn.hstatic.net/products/200000637319/10689_11498_dsc05320_1f0109ad92ed4dc19f744c3e09e22199.jpg,pc-gaming-kah-pc-gaming-intel-i5-12400f-rtx-3060-12gb-pc-000121-121,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
122,PC-000122,PC Gaming KAH PC Gaming Ryzen 7 7800X3D RAM 32GB RTX 5070 12GB - PC-000122,PC Gaming,pc-gaming,19560000.00,63,active,https://nguyencongpc.vn/media/product/28601-pc-gaming-ryzen-7-7800x3d-ram-32gb-rtx-5070-12gb-01.jpg,pc-gaming-kah-pc-gaming-ryzen-7-7800x3d-ram-32gb-rtx-5070-12gb-pc-000122-122,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
123,PC-000123,PC Gaming KAH PC Gaming Ryzen 7 7800X3D RAM 32GB RTX 5080 16GB - PC-000123,PC Gaming,pc-gaming,19730000.00,64,active,https://nguyencongpc.vn/media/product/29325-pc-gaming-ryzen-7-7800x3d-ram-32gb-rtx-5080-16gb-11.jpg,pc-gaming-kah-pc-gaming-ryzen-7-7800x3d-ram-32gb-rtx-5080-16gb-pc-000123-123,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
124,PC-000124,PC Gaming KAH PC Gaming 25251340 - PC-000124,PC Gaming,pc-gaming,19900000.00,5,active,https://nguyencongpc.vn/media/product/27426-pc-gaming-25251340.jpg,pc-gaming-kah-pc-gaming-25251340-pc-000124-124,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
125,PC-000125,PC Gaming KAH PC Gaming Ryzen 7 9800X3D RTX 5080 - PC-000125,PC Gaming,pc-gaming,20070000.00,6,active,https://nguyencongpc.vn/media/product/27462-b--pc-gaming-ryzen-7-9800x3d-ram-32g-vga-rtx-5080.jpg,pc-gaming-kah-pc-gaming-ryzen-7-9800x3d-rtx-5080-pc-000125-125,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
126,PC-000126,PC Gaming KAH PC Gaming AMD Ryzen 5 5500 RX 7600 - PC-000126,PC Gaming,pc-gaming,20240000.00,7,active,https://nguyencongpc.vn/media/product/27563-pc-gaming-amd-ryzen-5-5500-ram-16gb-rx-7600-8gb.jpg,pc-gaming-kah-pc-gaming-amd-ryzen-5-5500-rx-7600-pc-000126-126,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
127,PC-000127,PC Gaming KAH PC Gaming Intel Core i7 14700K RTX 4070 Super - PC-000127,PC Gaming,pc-gaming,20410000.00,8,active,https://nguyencongpc.vn/media/product/28132-pc-gaming-intel-core-i7-14700k-ram-64gb-rtx-4070-super-12gb-10.jpg,pc-gaming-kah-pc-gaming-intel-core-i7-14700k-rtx-4070-super-pc-000127-127,Tue Mar 31 2026 21:50:11 GMT+0700 (Indochina Time)
